accession,cik,form_type,filing_date,fiscal_year,sec_url,xbrl_available,report_date,primary_document
0001104659-26-072602,1758530,4,2026-06-11,2026,https://www.sec.gov/Archives/edgar/data/1758530/0001104659-26-072602-index.html,False,,
0001104659-26-038803,1758530,4,2026-04-02,2026,https://www.sec.gov/Archives/edgar/data/1758530/0001104659-26-038803-index.html,False,2026-03-31,xslF345X06/tm2610865-1_4seq1.xml
