ths_operating_total_revenue_stock,ths_revenue_stock,ths_interest_income_stock,ths_earned_premium_stock,ths_fee_and_commi_income_stock,ths_operating_revenuediff_sri_stock,ths_operating_revenuediff_tbi_stock,ths_operating_total_cost_stock,ths_operating_cost_2_stock,ths_operating_cost_stock,ths_interest_payout_stock,ths_charge_and_commi_expenses_stock,ths_refunded_premium_stock,ths_compensate_net_pay_stock,ths_extract_ic_reserve_net_amt_stock,ths_commi_on_insurance_policy_stock,ths_rein_expenditure_stock,ths_operating_taxes_and_surcharge_stock,ths_sales_fee_stock,ths_manage_fee_stock,ths_rad_cost_sum_stock,ths_financing_expenses_stock,ths_finance_cost_interest_fee_stock,ths_fc_interest_income_stock,ths_asset_impairment_loss_stock,ths_asset_impairment_loss_publish_stock,ths_credit_impairment_loss_stock,ths_credit_impairment_loss_publish_stock,ths_operating_cost_diff_sri_stock,ths_operating_cost_diff_tbi_stock,ths_fv_chg_income_stock,ths_invest_income_stock,ths_ii_from_jc_etc_stock,ths_amortized_cost_fnncl_ass_cfrm_stock,ths_net_open_hedge_income_stock,ths_exchange_gain_stock,ths_asset_disposal_gain_stock,ths_other_income_stock,ths_op_diff_sri_stock,ths_op_diff_tbi_stock,ths_op_stock,ths_non_operating_income_stock,ths_noncurrent_asset_dispose_gain_stock,ths_nonoperating_cost_stock,ths_noncurrent_asset_dispose_loss_stock,ths_total_profit_diff_sri_stock,ths_total_profit_diff_tbi_stock,ths_total_profit_stock,unconfirmed_invest_loss_is,ths_income_tax_cost_stock,ths_np_diff_sri_stock,ths_np_diff_tbi_stock,ths_np_stock,ths_continued_operating_np_stock,ths_stop_operating_np_stock,ths_np_atoopc_stock,ths_minority_gal_stock,ths_basic_eps_stock,ths_dlt_earnings_per_share_stock,ths_other_compre_income_stock,ths_othrcompre_income_atoopc_stock,ths_cannt_reclass_to_gal_stock,ths_asset_change_due_to_remeasure_stock,ths_cannt_reclass_gal_equity_law_stock,ths_other_not_reclass_to_gal_stock,ths_other_equity_invest_fvc_stock,ths_corp_credit_risk_fvc_stock,ths_reclass_to_gal_stock,ths_reclass_togal_in_equity_law_stock,ths_saleable_fv_chg_gal_stock,ths_reclass_and_salable_gal_stock,ths_cf_hedging_gal_valid_part_stock,ths_fc_convert_diff_stock,ths_other_reclass_to_gal_stock,ths_other_debt_right_invest_fvc_stock,ths_fa_reclassi_amt_stock,ths_other_debt_right_invest_ir_stock,ths_othrcompre_income_atms_stock,ths_total_compre_income_stock,ths_total_compre_income_atsopc_stock,ths_total_compre_income_atms_stock,thscode,time
229288057955.0,229288057955.0,,,,,,207969970060.0,205842243106.0,186990711967.0,,,,,,,,2759239541.0,315382633.0,7102898009.0,1919916696.0,6754094260.0,7075103710.0,354584242.0,2017128369.0,-2017128369.0,110598585.0,-110598585.0,,,-4315871.0,1140751353.0,1120506232.0,,,,186766087.0,1161936717.0,,,23803226181.0,708872464.0,,868156346.0,,,,23643942299.0,,4138879288.0,,,19505063011.0,19505063011.0,,14409553809.0,5095509202.0,0.74,0.74,-433628054.0,-285776742.0,-48339013.0,,33452090.0,,-81791103.0,,-237437729.0,-3958025.0,,,-554697964.0,321218260.0,,,,,-147851312.0,19071434957.0,14123777067.0,4947657890.0,600011.SH,
126012591000.0,126012591000.0,,,,,,119687635000.0,118921235000.0,111601546000.0,,,,,,,,1812473000.0,2230000.0,2231398000.0,111559000.0,3162029000.0,,,749656000.0,-749656000.0,16744000.0,-16744000.0,,,-20400000.0,3153477000.0,3148444000.0,,,,50154000.0,654888000.0,,,10163075000.0,747401000.0,,262695000.0,,,,10647781000.0,,2431191000.0,,,8216590000.0,8216590000.0,,6070315000.0,2146275000.0,0.49,,-64014000.0,-65148000.0,-77504000.0,,-92437000.0,,14933000.0,,12356000.0,12356000.0,,,,,,,,,1134000.0,8152576000.0,6005167000.0,2147409000.0,600027.SH,
121255419000.0,121255419000.0,,,,,,110144721000.0,108678765000.0,98117734000.0,,,,,,,,1700528000.0,154509000.0,4288342000.0,17372000.0,4400280000.0,4386254000.0,26826000.0,1686234000.0,-1686234000.0,-220278000.0,220278000.0,,,-34648000.0,2345413000.0,2033373000.0,,,,32511000.0,261290000.0,,,13715264000.0,160712000.0,,1029089000.0,,,,12846887000.0,,2823772000.0,,,10023115000.0,10023115000.0,,7386256000.0,2636859000.0,0.3155,0.3155,42595000.0,42215000.0,69631000.0,,,,69631000.0,,-27416000.0,-23330000.0,,,,-4086000.0,,,,,380000.0,10065710000.0,7428471000.0,2637239000.0,601991.SH,
