ths_main_business_composition_stock,ths_moc_project_name_industry_stock,ths_moc_project_income_industry_stock,ths_moc_project_cost_industry_stock,ths_moc_project_profit_industry_stock,ths_moc_project_gross_industry_stock,ths_moc_project_name_product_stock,ths_moc_project_income_product_stock,ths_moc_project_cost_product_stock,ths_moc_project_profit_product_stock,ths_moc_project_gross_rate_product_stock,ths_moc_project_name_district_stock,ths_moc_project_income_district_stock,ths_moc_project_cost_district_stock,ths_moc_project_profit_district_stock,ths_moc_project_gross_rate_dstrct_stock,ths_moc_foreign_income_stock,ths_moc_foreign_income_ratio_stock,ths_moc_foreign_cost_stock,ths_moc_foreign_cost_ratio_stock,ths_moc_foreign_gr_profit_stock,ths_moc_frg_gr_profit_rate_stock,ths_moc_domestic_income_stock,ths_moc_domestic_income_ratio_stock,ths_moc_domestic_cost_stock,ths_moc_domestic_cost_ratio_stock,ths_moc_domestic_gr_profit_stock,ths_moc_dmt_gr_profit_rate_stock,ths_moc_undistinguishable_income_stock,ths_moc_undistinguishable_income_ratio_stock,ths_moc_undistinguishable_cost_stock,ths_moc_undistinguishable_cost_ratio_stock,ths_moc_undistinguishable_profit_stock,ths_moc_undistinguishable_gross_margin_stock,thscode,time
,,,,,,售电,94744208000.0000,84188632000.0000,10555576000.0000,11.1411,其他业务,56097046000.0000,51300175000.0000,4796871000.0000,8.5510,,,,,,,56896933000.0,50.35395116053,51770473000.0,50.228143515698,5126460000.0,9.0100814397149,,,,,,,600027.SH,
,,,,,,供热,9742888000.0000,11044006000.0000,-1301118000.0000,-13.3545,山东,36844402000.0000,33589995000.0000,3254407000.0000,8.8328,,,,,,,,,,,,,,,,,,,600027.SH,
,,,,,,售煤,7904571000.0000,7340671000.0000,563900000.0000,7.1338,湖北,12018961000.0000,11125395000.0000,893566000.0000,7.4346,,,,,,,,,,,,,,,,,,,600027.SH,
,,,,,,其他业务,602312000.0000,497339000.0000,104973000.0000,17.4283,安徽,8033570000.0000,7055083000.0000,978487000.0000,12.1800,,,,,,,,,,,,,,,,,,,600027.SH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600027.SH,
