ths_main_business_composition_stock,ths_moc_project_name_industry_stock,ths_moc_project_income_industry_stock,ths_moc_project_cost_industry_stock,ths_moc_project_profit_industry_stock,ths_moc_project_gross_industry_stock,ths_moc_project_name_product_stock,ths_moc_project_income_product_stock,ths_moc_project_cost_product_stock,ths_moc_project_profit_product_stock,ths_moc_project_gross_rate_product_stock,ths_moc_project_name_district_stock,ths_moc_project_income_district_stock,ths_moc_project_cost_district_stock,ths_moc_project_profit_district_stock,ths_moc_project_gross_rate_dstrct_stock,ths_moc_foreign_income_stock,ths_moc_foreign_income_ratio_stock,ths_moc_foreign_cost_stock,ths_moc_foreign_cost_ratio_stock,ths_moc_foreign_gr_profit_stock,ths_moc_frg_gr_profit_rate_stock,ths_moc_domestic_income_stock,ths_moc_domestic_income_ratio_stock,ths_moc_domestic_cost_stock,ths_moc_domestic_cost_ratio_stock,ths_moc_domestic_gr_profit_stock,ths_moc_dmt_gr_profit_rate_stock,ths_moc_undistinguishable_income_stock,ths_moc_undistinguishable_income_ratio_stock,ths_moc_undistinguishable_cost_stock,ths_moc_undistinguishable_cost_ratio_stock,ths_moc_undistinguishable_profit_stock,ths_moc_undistinguishable_gross_margin_stock,thscode,time
售电:88.7272%;售热:9.8864%;其他业务:1.3864%,售电,111807428000.0000,97028100000.0000,14779328000.0000,13.2186,售电,111807428000.0000,97028100000.0000,14779328000.0000,13.2186,其他业务,59757312000.0000,52676819000.0000,7080493000.0000,11.8487,,,,,,,66255279000.0,52.578300687429,58924727000.0,52.799203157992,7330552000.0,11.064102529853,,,,,,,600027.SH,
,售热,12458141000.0000,13305515000.0000,-847374000.0000,-6.8018,供热,12458141000.0000,13305515000.0000,-847374000.0000,-6.8018,山东,32970323000.0000,27969888000.0000,5000435000.0000,15.1665,,,,,,,,,,,,,,,,,,,600027.SH,
,其他业务,1747022000.0000,1267931000.0000,479091000.0000,27.4233,售煤,957175000.0000,548475000.0000,408700000.0000,42.6986,江苏,22011502000.0000,20286599000.0000,1724903000.0000,7.8364,,,,,,,,,,,,,,,,,,,600027.SH,
,,,,,,其他业务,789847000.0000,719456000.0000,70391000.0000,8.9120,广东,11273454000.0000,10668240000.0000,605214000.0000,5.3685,,,,,,,,,,,,,,,,,,,600027.SH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600027.SH,
