ths_main_business_composition_stock,ths_moc_project_name_industry_stock,ths_moc_project_income_industry_stock,ths_moc_project_cost_industry_stock,ths_moc_project_profit_industry_stock,ths_moc_project_gross_industry_stock,ths_moc_project_name_product_stock,ths_moc_project_income_product_stock,ths_moc_project_cost_product_stock,ths_moc_project_profit_product_stock,ths_moc_project_gross_rate_product_stock,ths_moc_project_name_district_stock,ths_moc_project_income_district_stock,ths_moc_project_cost_district_stock,ths_moc_project_profit_district_stock,ths_moc_project_gross_rate_dstrct_stock,ths_moc_foreign_income_stock,ths_moc_foreign_income_ratio_stock,ths_moc_foreign_cost_stock,ths_moc_foreign_cost_ratio_stock,ths_moc_foreign_gr_profit_stock,ths_moc_frg_gr_profit_rate_stock,ths_moc_domestic_income_stock,ths_moc_domestic_income_ratio_stock,ths_moc_domestic_cost_stock,ths_moc_domestic_cost_ratio_stock,ths_moc_domestic_gr_profit_stock,ths_moc_dmt_gr_profit_rate_stock,ths_moc_undistinguishable_income_stock,ths_moc_undistinguishable_income_ratio_stock,ths_moc_undistinguishable_cost_stock,ths_moc_undistinguishable_cost_ratio_stock,ths_moc_undistinguishable_profit_stock,ths_moc_undistinguishable_gross_margin_stock,thscode,time
,,,,,,变压器,26759648231.8400,21459556580.0800,5300091651.7600,19.8063,国内,82996371740.1200,67277911923.5500,15718459816.5700,18.9387,12662288348.81,13.011239777041,10681361262.8,13.530019793514,1980927086.01,15.644305606073,82996371740.12,85.283612534114,67277911923.55,85.220549852775,15718459816.57,18.938731280673,,,,,,,600089.SH,
,,,,,,煤炭产品,16965660836.8900,13167745045.4200,3797915791.4700,22.3859,国外,12662288348.8100,10681361262.8000,1980927086.0100,15.6443,,,,,,,,,,,,,,,,,,,600089.SH,
,,,,,,电线电缆,15568910378.8600,14269907281.9000,1299003096.9600,8.3436,其他业务,1659416941.3100,986370839.3900,673046101.9200,40.5592,,,,,,,,,,,,,,,,,,,600089.SH,
,,,,,,太阳能硅片、太阳能系统工程等,13555356066.6900,13475737309.4600,79618757.2300,0.5874,,,,,,,,,,,,,,,,,,,,,,,,600089.SH,
,,,,,,电费,7183333520.7700,3250343572.5900,3932989948.1800,54.7516,,,,,,,,,,,,,,,,,,,,,,,,600089.SH,
