ths_main_business_composition_stock,ths_moc_project_name_industry_stock,ths_moc_project_income_industry_stock,ths_moc_project_cost_industry_stock,ths_moc_project_profit_industry_stock,ths_moc_project_gross_industry_stock,ths_moc_project_name_product_stock,ths_moc_project_income_product_stock,ths_moc_project_cost_product_stock,ths_moc_project_profit_product_stock,ths_moc_project_gross_rate_product_stock,ths_moc_project_name_district_stock,ths_moc_project_income_district_stock,ths_moc_project_cost_district_stock,ths_moc_project_profit_district_stock,ths_moc_project_gross_rate_dstrct_stock,ths_moc_foreign_income_stock,ths_moc_foreign_income_ratio_stock,ths_moc_foreign_cost_stock,ths_moc_foreign_cost_ratio_stock,ths_moc_foreign_gr_profit_stock,ths_moc_frg_gr_profit_rate_stock,ths_moc_domestic_income_stock,ths_moc_domestic_income_ratio_stock,ths_moc_domestic_cost_stock,ths_moc_domestic_cost_ratio_stock,ths_moc_domestic_gr_profit_stock,ths_moc_dmt_gr_profit_rate_stock,ths_moc_undistinguishable_income_stock,ths_moc_undistinguishable_income_ratio_stock,ths_moc_undistinguishable_cost_stock,ths_moc_undistinguishable_cost_ratio_stock,ths_moc_undistinguishable_profit_stock,ths_moc_undistinguishable_gross_margin_stock,thscode,time
,,,,,,变压器,22363627927.9900,18432229195.4300,3931398732.5600,17.5794,国内,84023715990.9700,69022898190.0300,15000817800.9400,17.8531,11974915941.39,12.235963893041,9801393458.12,12.242546258541,2173522483.27,18.150628312617,84023715990.97,85.855396401667,69022898190.03,86.213866181443,15000817800.94,17.853075913177,,,,,,,600089.SH,
,,,,,,煤炭产品,19264276390.1300,13018785682.5400,6245490707.5900,32.4201,国外,11974915941.3900,9801393458.1200,2173522483.2700,18.1506,,,,,,,,,,,,,,,,,,,600089.SH,
,,,,,,太阳能硅片、太阳能系统工程等,18531129184.2200,18269094880.6100,262034303.6100,1.4140,其他业务,1867919865.8200,1235797577.8300,632122287.9900,33.8410,,,,,,,,,,,,,,,,,,,600089.SH,
,,,,,,电线电缆,15691720162.6700,14496231033.3300,1195489129.3400,7.6186,,,,,,,,,,,,,,,,,,,,,,,,600089.SH,
,,,,,,铝电子新材料、铝及合金制品,5605166881.3900,4954157476.3800,651009405.0100,11.6145,,,,,,,,,,,,,,,,,,,,,,,,600089.SH,
