open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
3144.41,3153.69,3126.9,3137.14,347511867.0,000001.SH,20230830,NA,NA,CNY
3134.55,3139.98,3113.95,3119.88,313448242.0,000001.SH,20230831,NA,NA,CNY
3126.02,3143.85,3123.19,3133.25,292310992.0,000001.SH,20230901,NA,NA,CNY
3145.94,3177.06,3143.38,3177.06,366391140.0,000001.SH,20230904,NA,NA,CNY
3169.74,3169.74,3150.08,3154.37,294061849.0,000001.SH,20230905,NA,NA,CNY
3147.14,3162.15,3136.9,3158.08,267002230.0,000001.SH,20230906,NA,NA,CNY
3152.2,3152.27,3120.82,3122.35,269264733.0,000001.SH,20230907,NA,NA,CNY
3114.23,3126.04,3104.67,3116.72,228125064.0,000001.SH,20230908,NA,NA,CNY
3119.61,3155.1,3113.82,3142.78,290442917.0,000001.SH,20230911,NA,NA,CNY
3140.34,3147.51,3134.32,3137.06,234672051.0,000001.SH,20230912,NA,NA,CNY
3137.77,3143.76,3106.97,3123.07,249701038.0,000001.SH,20230913,NA,NA,CNY
3124.85,3135.03,3111.86,3126.55,263990138.0,000001.SH,20230914,NA,NA,CNY
3133.59,3141.96,3107.45,3117.74,292026365.0,000001.SH,20230915,NA,NA,CNY
3110.44,3128.7,3098.5,3125.93,259444257.0,000001.SH,20230918,NA,NA,CNY
3123.99,3131.13,3113.53,3124.96,253652761.0,000001.SH,20230919,NA,NA,CNY
3118.67,3122.13,3108.16,3108.57,228124462.0,000001.SH,20230920,NA,NA,CNY
3103.18,3113.49,3084.7,3084.7,228659100.0,000001.SH,20230921,NA,NA,CNY
3084.76,3132.56,3078.8,3132.43,285978351.0,000001.SH,20230922,NA,NA,CNY
3131.21,3131.21,3112.15,3115.61,258071885.0,000001.SH,20230925,NA,NA,CNY
3114.02,3120.29,3102.27,3102.27,222644313.0,000001.SH,20230926,NA,NA,CNY
3104.04,3125.45,3103.84,3107.32,240495830.0,000001.SH,20230927,NA,NA,CNY
3117.75,3121.84,3105.94,3110.48,236329981.0,000001.SH,20230928,NA,NA,CNY
